#pos	base_type	quality_expectation_1st_read	quality_expectation_2nd_read
92	G	75	75
93	G	75	75
94	G	75	75
95	G	75	75
96	G	75	75
97	G	75	75
98	G	75	75
99	G	75	75
100	G	75	75
101	G	40	40
102	G	62	62
103	G	40	40
104	G	48	48
105	G	44	44
106	G	57	57
107	G	59	59
108	G	62	62
109	G	65	65
110	G	52	52
111	G	48	48
112	G	57	57
113	G	49	49
114	G	57	57
115	G	54	54
116	G	60	60
117	G	43	43
118	G	54	54
119	G	62	62
120	G	62	62
121	G	64	64
122	G	40	40
123	G	55	55
124	G	44	44
125	G	52	52
1	C	34	34
2	C	40	40
3	C	45	45
4	C	40	40
5	C	44	44
6	C	48	48
7	C	45	45
8	C	46	46
9	C	45	45
10	C	37	37
11	C	47	47
12	C	33	33
13	C	48	48
14	C	43	43
15	C	48	48
16	C	38	38
17	C	49	49
18	C	48	48
19	C	45	45
20	C	43	43
21	C	44	44
22	C	36	36
23	C	45	45
24	C	48	48
25	C	45	45
26	C	75	75
27	C	75	75
28	C	75	75
29	C	75	75
30	C	75	75
31	C	75	75
32	C	75	75
33	C	75	75
34	C	75	75
35	C	75	75
36	C	75	75
37	C	75	75
38	C	75	75
39	C	75	75
40	C	75	75
41	C	75	75
42	C	75	75
43	C	75	75
44	C	75	75
45	C	75	75
46	C	75	75
47	C	75	75
48	C	75	75
49	C	75	75
50	C	75	75
51	C	75	75
52	C	75	75
53	C	75	75
54	C	75	75
55	C	75	75
56	C	75	75
57	C	75	75
58	C	75	75
59	C	75	75
60	C	75	75
61	C	75	75
62	C	75	75
63	C	75	75
64	C	75	75
65	C	75	75
66	C	75	75
67	C	75	75
68	C	75	75
69	C	75	75
70	C	75	75
71	C	75	75
72	C	75	75
73	C	75	75
74	C	75	75
75	C	75	75
76	C	75	75
77	C	75	75
78	C	75	75
79	C	75	75
80	C	75	75
81	C	75	75
82	C	75	75
83	C	75	75
84	C	75	75
85	C	75	75
86	C	75	75
87	C	75	75
88	C	75	75
89	C	75	75
90	C	75	75
91	C	75	75
92	C	75	75
93	C	75	75
94	C	75	75
95	C	75	75
96	C	75	75
97	C	75	75
98	C	75	75
99	C	75	75
100	C	75	75
101	C	63	63
102	C	55	55
103	C	53	53
104	C	52	52
105	C	41	41
106	C	46	46
107	C	60	60
108	C	56	56
109	C	61	61
110	C	55	55
111	C	57	57
112	C	57	57
113	C	42	42
114	C	46	46
115	C	57	57
116	C	62	62
117	C	64	64
118	C	43	43
119	C	55	55
120	C	41	41
121	C	56	56
122	C	43	43
123	C	60	60
124	C	58	58
125	C	45	45
